controllable,qualifications,factor,importance
Factors Out of Your Control,Qualifications: Irrelevant,PI: Accepting Students,6
Factors In Your Control,Qualifications: Relevant,CV: Research,4.5
Factors In Your Control,Qualifications: Relevant,Letters of Recommendation,4.5
Factors In Your Control,Qualifications: Relevant,CV: Research Products,4.5
Factors Out of Your Control,Qualifications: Irrelevant,PI: Funding Availability,4
Factors In Your Control,Qualifications: Relevant,Statement: Content,3.5
Factors Out of Your Control,Qualifications: Irrelevant,Program Funding,3.5
Factors In Your Control,Qualifications: Irrelevant,Statement: Quality of Prose,3
Factors In Your Control,Qualifications: Irrelevant,Interview Performance,3
Factors In Your Control,Qualifications: Irrelevant,Likability,3
Factors Out of Your Control,Qualifications: Irrelevant,PI: Lab Priorities,3
Factors Out of Your Control,Qualifications: Irrelevant,Diversity Statement,2
Factors Out of Your Control,Qualifications: Irrelevant,PI: Funding Priorities,3
Factors In Your Control,Qualifications: Relevant,Clear Research Interests,2.5
Factors In Your Control,Qualifications: Relevant,GRE Scores,2.5
Factors In Your Control,Qualifications: Relevant,Awards and Honors,1.5
Factors In Your Control,Qualifications: Relevant,CV: GPA,2.5
Factors In Your Control,Qualifications: Irrelevant,Self-Promotion,3
Factors In Your Control,Qualifications: Irrelevant,CV: Formatting,2
Factors Out of Your Control,Qualifications: Irrelevant,Competition,2
Factors Out of Your Control,Qualifications: Irrelevant,PI: On Sabatical,2
Factors Out of Your Control,Qualifications: Irrelevant,PI: Personality,1.5
Factors In Your Control,Qualifications: Irrelevant,"""Elevator Pitch""",1
Factors Out of Your Control,Qualifications: Irrelevant,Attractiveness,1
Factors Out of Your Control,Qualifications: Irrelevant,Demographics,1
Factors In Your Control,Qualifications: Relevant,CV: Teaching,2.5
Factors In Your Control,Qualifications: Irrelevant,Submit On Time,6