Question,Yes,No,,,,,N.answers
1. Did you receive a written syllabus during the first week of class?,87.50%,12.50%,,,,,16
,Excellent,Good,Fair,Poor,Unacceptable,Not applicable,
2. The instructor's ability to organize ideas and materials for class,30.43%,34.78%,26.09%,8.70%,0.00%,0.00%,23
3. The instructor's ability to stimulate interest in the subject,34.78%,26.09%,26.09%,13.04%,0.00%,0.00%,23
4. The instructor's ability to encourage independent thinking,34.78%,30.43%,21.74%,8.70%,0.00%,4.35%,23
5. The instructor's ability to generate effective class discussion,39.13%,21.74%,17.39%,17.39%,0.00%,4.35%,23
6. The instructor's ability to communicate clearly,43.48%,30.43%,21.74%,4.35%,0.00%,0.00%,23
"7. The instructor's openness to students' comments, questions and viewpoints concerning class topics",56.52%,21.74%,17.39%,4.35%,0.00%,0.00%,23
8. The instructor's knowledge of the subject matter of the class,39.13%,30.43%,26.09%,4.35%,0.00%,0.00%,23
9. The instructor's ability to keep to the time and schedule requirements for the class,54.55%,22.73%,13.64%,4.55%,0.00%,4.55%,22
10. The instructor's availability to students outside of class,60.87%,21.74%,13.04%,4.35%,0.00%,0.00%,23
11. The clarity of information provided about the course requirements and assignments,56.52%,17.39%,17.39%,4.35%,0.00%,4.35%,23
12. The promptness with which tests and assignments are graded and returned,56.52%,17.39%,17.39%,4.35%,0.00%,4.35%,23
,Too many,Just right,Too few,Not applicable,,,
13. The number of assignments/projects/creative works in this class,13.04%,47.83%,0.00%,39.13%,,,23
,Very Challenging,Challenging,Somewhat challenging,Not challenging,Not applicable,,
14. How challenging the class assignments/projects/creative works were,13.04%,30.43%,17.39%,0.00%,39.13%,,23
,Very useful,Useful,Somewhat useful,Not useful,Not applicable,,
15. The usefulness of assignments/projects/creative works in this class,13.04%,43.48%,8.70%,0.00%,34.78%,,23
,Very difficult,Difficult,Somewhat difficult,Not difficult,Not applicable,,
16. The difficulty of examinations in this class,0.00%,26.09%,17.39%,4.35%,52.17%,,23
,Very fair,Fair,Somewhat unfair,Unfair,Not applicable,,
17. The fairness of examinations in this class,0.00%,34.78%,13.04%,0.00%,52.17%,,23
,Very likely,Somewhat likely,Don't know,Somewhat unlikely,Very unlikely,,
18. How likely are you to recommend this instructor to a friend?,34.78%,34.78%,8.70%,17.39%,4.35%,,23
,A lot,A fair amount,Some,A little,Hardly anything,Not applicable,
19. How much general knowledge about the subject have you gained?,21.74%,34.78%,17.39%,17.39%,8.70%,0.00%,23
20. How much ability to analyze and solve problems have you gained?,17.39%,43.48%,13.04%,13.04%,13.04%,0.00%,23
21. How much ability to find and use information on your own have you gained?,17.39%,43.48%,13.04%,13.04%,8.70%,4.35%,23
22. How much ability to express your ideas verbally have you gained from this class?,13.04%,39.13%,17.39%,13.04%,13.04%,4.35%,23
23. How much ability to develop and express your ideas through artistic/creative means have you gained from this class?,4.35%,34.78%,8.70%,17.39%,8.70%,26.09%,23